impression_id,user_id,time,history,impressions,his_length,impression_length,his_prov,his_pop_count,pop_impression_count
14085.0,U739576,11/15/19 6:13,N86691 N98238 N75436 N31723 N79344 N71643 N12724 N31079 N9254 N101119,N46894-0 N122944-1 N29160-0 N18190-0 N59297-0 N30582-0 N122640-0 N128045-0 N25621-0 N12384-0 N55801-0 N69938-0 N104644-0 N54368-0,10.0,14.0,"['pinterest', 'foxnews', 'usatoday', '12up', 'buzzvideos', 'bbc.co.uk', 'nba.nbcsports', 'ndtv', 'motortrend', 'caranddriver']",6.0,12.0
14154.0,U311022,11/15/19 12:45,N18389 N3948 N96713 N119126 N114571 N40765 N123548 N34516 N37395 N60510,N129416-0 N89764-0 N91737-0 N119999-0 N46555-0 N112536-0 N29160-0 N2110-0 N46641-0 N56602-0 N21018-0 N58760-1,10.0,12.0,"['cbsnews', 'animalchannel.co', 'nbcnews', 'cnn', 'wonderwall', 'bestlifeonline', 'yahoo', 'bbc', 'abcnews', 'apnews']",9.0,11.0
14626.0,U194106,11/15/19 5:41,N53933 N119674 N11878 N82405 N91597 N119215 N24446 N81921 N53650 N50653,N72977-0 N59297-0 N69938-0 N4378-0 N54368-0 N122640-0 N128045-0 N82573-0 N104644-0 N55801-0 N29160-1 N18190-0 N80770-0 N122944-1 N32993-0,10.0,15.0,"['nbcdfw', 'cnn', 'insider', 'essence', 'time', 'stacker', 'foxnews', 'people', 'elle', 'insider']",9.0,13.0
14933.0,U42051,11/15/19 6:18,N7154 N39472 N22328 N127916 N93049 N107441 N82747 N78719 N108701 N123455,N12384-0 N122944-0 N54368-0 N29160-0 N59297-0 N18190-0 N69938-1 N25621-0 N46894-0 N128045-0 N55801-0 N122640-0 N30582-0,10.0,13.0,"['wgntv', 'cnn', 'popsugar', 'cnn', 'people', 'bnnbloomberg.ca', 'hellomagazine', 'insider', 'apnews', 'nytimes']",8.0,11.0
15201.0,U255206,11/15/19 9:13,N123002 N60850 N34031 N69442 N9892 N100262 N34031 N24968 N93963 N64195,N21356-0 N97684-0 N52388-0 N85420-0 N6565-0 N83491-0 N124847-0 N30206-1 N39770-0 N18190-0 N42765-0 N106769-0 N37648-1 N73966-0,10.0,14.0,"['stamfordadvocate', 'thehill', 'cnbc', 'insideedition', 'bloomberg', 'apnews', 'cnbc', 'foxnews', 'yahoo', 'industryweek']",7.0,11.0
15393.0,U123547,11/15/19 3:26,N36573 N5697 N9953 N71977 N120806 N59447 N40944 N19175 N44976 N46662,N18190-0 N82573-0 N69938-1 N18258-0 N122944-0 N80770-0 N59297-0 N54368-0 N82503-0 N29160-0 N118623-0 N55801-0 N104644-0 N72977-0,10.0,14.0,"['people', 'blog.cheapism', 'nytimes', 'yahoo', 'mayoclinic', 'cdc', 'therichest', 'politico', 'nytimes', 'familyhandyman']",7.0,12.0
15473.0,U553958,11/15/19 13:57,N121794 N108217 N98164 N78719 N23264 N16173 N24129 N48926 N90092 N15206,N46641-0 N2110-0 N89764-1 N119999-0 N99846-0 N91737-0 N46555-0 N112536-0 N58760-0 N47891-0 N29160-0 N21018-0 N129416-0,10.0,13.0,"['cnbc', 'yahoo', 'wsj', 'insider', 'cnn', 'nbcnews', 'hollywoodreporter', 'cnn', 'cbsnews', 'yahoo']",10.0,11.0
16219.0,U729443,11/15/19 5:20,N28892 N51724 N130251 N51450 N1940 N130011 N86141 N100670 N85103 N34516,N82503-0 N82573-0 N54368-0 N80770-0 N122944-0 N104644-0 N18190-0 N29160-0 N4378-0 N69938-1 N72977-0 N128045-0 N59297-0 N55801-0,10.0,14.0,"['aopa', 'insider', 'moviesignature.co.uk', 'forbes', 'abcnews', 'bgr', 'nationalgeographic', 'marketwatch', 'cnn', 'bbc']",7.0,11.0
16362.0,U527082,11/15/19 11:54,N30161 N84135 N95683 N13761 N129677 N104737 N7156 N43087 N117401 N23688,N119999-1 N129416-0 N91737-0 N18468-0 N46641-0 N112536-0 N21018-0 N29160-0 N89764-0 N53018-0 N56602-0 N2110-0,10.0,12.0,"['usatoday', 'myrecipes', 'people', 'harpersbazaar', 'delish', 'forbes', 'people', 'npr', 'insider', 'usatoday']",9.0,11.0
16403.0,U682036,11/15/19 7:21,N9740 N89872 N109183 N14240 N49347 N27352 N95150 N66666 N66851 N105881,N35304-0 N55801-0 N30582-0 N46894-0 N122640-0 N18190-0 N12384-0 N25621-1 N128045-0 N72977-0 N122944-0 N15995-0 N29160-0,10.0,13.0,"['cnn', 'people', 'cnn', 'rollingstone', 'cbc.ca', 'eonline', 'people', 'usatoday', 'people', 'cnn']",10.0,11.0
16423.0,U14,11/15/19 3:49,N127968 N13661 N49570 N97405 N106961 N97405 N87405 N24115 N99520 N18625,N61875-0 N99846-0 N38685-0 N83732-0 N64669-0 N121375-0 N119394-0 N115611-0 N2110-0 N51080-0 N93873-0 N16435-1 N67537-0 N76380-0,10.0,14.0,"['cnbc', 'rd', 'washingtonpost', 'nytimes', 'blog.cheapism', 'nytimes', 'nytimes', 'popsugar', 'washingtonpost', 'washingtonpost']",10.0,11.0
16622.0,U146780,11/15/19 12:06,N42703 N64765 N31043 N15471 N73122 N18601 N51893 N121550 N82746 N104737,N53018-1 N21018-0 N29160-0 N46641-0 N91737-0 N18468-0 N119999-0 N56602-0 N112536-0 N129416-0 N89764-0 N2110-0,10.0,12.0,"['youtube', 'washingtonpost', 'cnn', 'people', 'usmagazine', 'yahoo', 'cnbc', 'cbsnews', 'foxnews', 'forbes']",10.0,11.0
